EkeV          Fluxele
  1.8514E+06  1.1489E-02
  1.8728E+06  1.1275E-02
  1.8945E+06  1.1062E-02
  1.9165E+06  1.0852E-02
  1.9387E+06  1.0645E-02
  1.9611E+06  1.0439E-02
  1.9838E+06  1.0237E-02
  2.0068E+06  1.0036E-02
  2.0300E+06  9.8385E-03
  2.0535E+06  9.6431E-03
  2.0773E+06  9.4503E-03
  2.1014E+06  9.2600E-03
  2.1257E+06  9.0722E-03
  2.1503E+06  8.8869E-03
  2.1752E+06  8.7042E-03
  2.2004E+06  8.5240E-03
  2.2259E+06  8.3464E-03
  2.2516E+06  8.1713E-03
  2.2777E+06  7.9988E-03
  2.3041E+06  7.8289E-03
  2.3308E+06  7.6614E-03
  2.3578E+06  7.4966E-03
  2.3851E+06  7.3343E-03
  2.4127E+06  7.1745E-03
  2.4406E+06  7.0172E-03
  2.4689E+06  6.8625E-03
  2.4975E+06  6.7103E-03
  2.5264E+06  6.5606E-03
  2.5556E+06  6.4134E-03
  2.5852E+06  6.2686E-03
  2.6152E+06  6.1264E-03
  2.6455E+06  5.9865E-03
  2.6761E+06  5.8492E-03
  2.7071E+06  5.7142E-03
  2.7384E+06  5.5816E-03
  2.7701E+06  5.4514E-03
  2.8022E+06  5.3236E-03
  2.8347E+06  5.1981E-03
  2.8675E+06  5.0750E-03
  2.9007E+06  4.9541E-03
  2.9343E+06  4.8356E-03
  2.9682E+06  4.7193E-03
  3.0026E+06  4.6052E-03
  3.0374E+06  4.4934E-03
  3.0726E+06  4.3837E-03
  3.1081E+06  4.2762E-03
  3.1441E+06  4.1708E-03
  3.1805E+06  4.0676E-03
  3.2174E+06  3.9665E-03
  3.2546E+06  3.8674E-03
  3.2923E+06  3.7703E-03
  3.3304E+06  3.6753E-03
  3.3690E+06  3.5823E-03
  3.4080E+06  3.4912E-03
  3.4475E+06  3.4021E-03
  3.4874E+06  3.3148E-03
  3.5278E+06  3.2295E-03
  3.5686E+06  3.1460E-03
  3.6099E+06  3.0643E-03
  3.6517E+06  2.9844E-03
  3.6940E+06  2.9063E-03
  3.7368E+06  2.8299E-03
  3.7801E+06  2.7553E-03
  3.8238E+06  2.6823E-03
  3.8681E+06  2.6110E-03
  3.9129E+06  2.5413E-03
  3.9582E+06  2.4732E-03
  4.0041E+06  2.4067E-03
  4.0504E+06  2.3418E-03
  4.0973E+06  2.2784E-03
  4.1448E+06  2.2164E-03
  4.1928E+06  2.1560E-03
  4.2413E+06  2.0970E-03
  4.2904E+06  2.0394E-03
  4.3401E+06  1.9832E-03
  4.3904E+06  1.9283E-03
  4.4412E+06  1.8748E-03
  4.4926E+06  1.8226E-03
  4.5446E+06  1.7717E-03
  4.5973E+06  1.7221E-03
  4.6505E+06  1.6736E-03
  4.7044E+06  1.6264E-03
  4.7588E+06  1.5804E-03
  4.8139E+06  1.5356E-03
  4.8697E+06  1.4919E-03
  4.9261E+06  1.4493E-03
  4.9831E+06  1.4078E-03
  5.0408E+06  1.3673E-03
  5.0992E+06  1.3279E-03
  5.1582E+06  1.2896E-03
  5.2180E+06  1.2522E-03
  5.2784E+06  1.2158E-03
  5.3395E+06  1.1804E-03
  5.4013E+06  1.1459E-03
  5.4639E+06  1.1124E-03
  5.5271E+06  1.0797E-03
  5.5911E+06  1.0479E-03
  5.6559E+06  1.0169E-03
  5.7214E+06  9.8681E-04
  5.7876E+06  9.5752E-04
  5.8546E+06  9.2902E-04
  5.9224E+06  9.0130E-04
  5.9910E+06  8.7434E-04
  6.0604E+06  8.4812E-04
  6.1306E+06  8.2262E-04
  6.2015E+06  7.9783E-04
  6.2734E+06  7.7373E-04
  6.3460E+06  7.5030E-04
  6.4195E+06  7.2753E-04
  6.4938E+06  7.0540E-04
  6.5690E+06  6.8389E-04
  6.6451E+06  6.6299E-04
  6.7220E+06  6.4269E-04
  6.7999E+06  6.2296E-04
  6.8786E+06  6.0380E-04
  6.9582E+06  5.8518E-04
  7.0388E+06  5.6710E-04
  7.1203E+06  5.4955E-04
  7.2028E+06  5.3250E-04
  7.2862E+06  5.1594E-04
  7.3706E+06  4.9987E-04
  7.4559E+06  4.8426E-04
  7.5422E+06  4.6912E-04
  7.6296E+06  4.5441E-04
  7.7179E+06  4.4014E-04
  7.8073E+06  4.2630E-04
  7.8977E+06  4.1286E-04
  7.9891E+06  3.9982E-04
  8.0816E+06  3.8717E-04
  8.1752E+06  3.7489E-04
  8.2699E+06  3.6299E-04
  8.3657E+06  3.5144E-04
  8.4625E+06  3.4024E-04
  8.5605E+06  3.2937E-04
  8.6596E+06  3.1884E-04
  8.7599E+06  3.0862E-04
  8.8614E+06  2.9872E-04
  8.9640E+06  2.8911E-04
  9.0678E+06  2.7980E-04
  9.1728E+06  2.7078E-04
  9.2790E+06  2.6203E-04
  9.3864E+06  2.5355E-04
  9.4951E+06  2.4533E-04
  9.6051E+06  2.3737E-04
  9.7163E+06  2.2965E-04
  9.8288E+06  2.2217E-04
  9.9426E+06  2.1492E-04
  1.0058E+07  2.0790E-04
  1.0174E+07  2.0110E-04
  1.0292E+07  1.9451E-04
  1.0411E+07  1.8813E-04
  1.0532E+07  1.8195E-04
  1.0654E+07  1.7596E-04
  1.0777E+07  1.7016E-04
  1.0902E+07  1.6455E-04
  1.1028E+07  1.5911E-04
  1.1156E+07  1.5385E-04
  1.1285E+07  1.4875E-04
  1.1416E+07  1.4381E-04
  1.1548E+07  1.3904E-04
  1.1682E+07  1.3441E-04
  1.1817E+07  1.2993E-04
  1.1954E+07  1.2560E-04
  1.2092E+07  1.2141E-04
  1.2232E+07  1.1735E-04
  1.2374E+07  1.1342E-04
